workerid,proliferate.condition,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,error
702,default,block2,garage,projective,0.99,4802,MC,52,MC,MC,
702,default,block2,zoe,projective,0.02,10746,demonstrate,53,demonstrate,C,
702,default,block2,kids,projective,1,5018,MC,54,MC,MC,
702,default,block2,mary,projective,0.01,5850,suggest,55,suggest,C,
702,default,block2,emma,projective,1,6504,announce,56,announce,C,
702,default,block2,grace,projective,0,6534,establish,57,establish,C,
700,default,block1,grace,ai,0,23706,be_right,5,be_right,C,
700,default,block1,mary,ai,0,13148,say,6,say,C,
700,default,block1,julian,ai,0,8911,confirm,7,confirm,C,
700,default,block1,jon,ai,0,16718,hear,8,hear,C,
700,default,block1,frank,ai,0.02,16252,prove,9,prove,C,
700,default,block1,mia,ai,0.04,13061,reveal,10,reveal,C,
700,default,block1,pizza,ai,1,12909,MC,11,MC,MC,
700,default,block1,josh,ai,0,9589,admit,12,admit,C,
700,default,block1,hat,ai,1,8152,MC,13,MC,MC,
700,default,block1,josie,ai,0,12260,be_annoyed,14,be_annoyed,C,
700,default,block1,zoe,ai,0,7372,announce,15,announce,C,
700,default,block1,isabella,ai,0,10198,pretend,16,pretend,C,
